Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
INMO ROSSA SL INMO-ROSSA S.L.	76	Inmo Rossa SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LANBAL BCN SL	76	Lanbal BCN SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CAMPO DE GAMA, S.L.U.	74	Campo de Gama SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FUNDACIO ILURO	74	Fundació Iluro	España	España	Fundaciones	NA	Fundaciones	NA	Cataluña	Sociedad Privada
MGS, SEGUROS Y REASEGUROS SA	74	MGS Seguros	España	España	Empresa privada	NA	Seguros	NA	Cataluña	Sociedad Privada
TITISA SA	74	Titisa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FARRE-RENTALS SA	73	Farre-Rentals SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FINCAS ARMENGOL SCP	73	Fincas Armengol SCP	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FREMAN SL	73	Freman SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PAULISTANO SL	73	Paulistano SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
UNION PROMOTORA DE INVERSIONES SL	73	Unión Promotora de Inversiones SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PROCORNELLA SA	72	Ajuntament de Cornellà de Llobregat	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
EDIFICIOS Y ESPECTACULOS S.L	72	Edificios y Espectáculos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FILEVA SL	72	Fileva SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ARENASAN SL	71	Arenasan SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
BISBAT DE VIC	70	Bisbat de Vic	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Cataluña	Sociedad Privada
BORIVIL, SL	70	Borivil SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
IMPULS LLOGUER, SLU	70	Qualest Patrimonial SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SIMOTRES 1997 SL	70	Simotres 1997 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
VINU SA VINU SA	70	Vinu SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
JORBAJOR SL	69	Jorbajor SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MARIA DE VALLDONZELLA SL	69	María de Valldonzella SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
EDIMAN INVERSIONES SLU	69	Nolabey Grup	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PROHORTA SL	69	Prohorta SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
BADROCIL INMOBILIARIA SL	69	Ruarti XXI	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ACRANOU	68	Acranou	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
BIENES ARRENDADOS URBANOS, S.L.	68	Bienes Arrendados Urbanos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ICOFRE DIAGONAL SL	68	Icofre Diagonal SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MERCHLINCEO SL	68	Merchlinceo SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ROLEG SA	68	Roleg SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ALISEDA, SAU	67	Blackstone	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
FINQUES CASTELLBELL SL	67	Finques Castellbell SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA SAMUR SL	67	Inmobiliaria Samur SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INVERSIONES CABOET, S.A.	67	Inversiones Caboet SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
J. BALAGUÉ ARQUITECTURA E INGENIERIA S. A.	67	J. Balagué Arquitectura e Ingeniería SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MAR-LLAU SL	67	Mar Llau SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ROFISO, S.L.U.	67	Rofiso SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CAPITAL VALUE REAL ESTATE SL	66	Capital Value Real Estate SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PATRIMONIAL DE LLORENS TERRADE	66	Patrimonial de Llorens Terrade	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
XAPLUC SL	66	Xapluc SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ARZOBISPADO DE BARCELONA	65	Arzobispado de Barcelona	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Cataluña	Sociedad Privada
FINCAS GONSENI S.L.	65	Fincas Gonseni SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
HEREUS DE JOSEP M AGUSTI MARFA SA	65	Hereus de Josep M. Agustí Marfa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
RICIMA SL	65	Ricima SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
RIU GODO SL	65	Riu Godo SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MERLIMAU SERVICIOS INMOBILIARIOS SLU	65	Spray Boston SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CODU SL	63	Codu SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ESEO 21 Eseo 21 SL	63	Dankbar 21 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
GRASVER SL	63	Grasver SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
IVASON INVEST SL	63	Ivason Invest SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
TORRAS I BAGES 79-81, S.l.	63	Torras i Bages 79-81 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
URBAN VIEW DEVELOPMENT SPAIN SOCIMI SA	63	Urban View Socimi LP	Estados Unidos	España	Socimi	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
COGISO SL	62	Cogiso SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
COOPERATIVA OBRERA DE VIVIENDAS SCCL	62	Cooperativa Obrera de Viviendas SCCL	España	España	Cooperativa	NA	Otros	NA	Cataluña	Sociedad Privada
JUSTINIANO 2000 SL	62	Justiniano 2000 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MERCANTIL DIPUTACIÓ 435 SL	62	Mercantil Diputació 435 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PROMOCIONES BRICA, S.A.	62	Promociones Brica SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
RANIDIUM SL	62	Ranidium SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ALTAMIRA SANTANDER REAL ESTATE SA	61	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
FIMES 2000, S.L.	61	Fimes 2000 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
OTO SL	61	Oto SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
EMPIRE PROPERTIES SPAIN SLU	60	Blackstone	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
INMOBILIARIA ARIES SL	60	Inmobiliaria Aries SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
JEAC HABITATGES SL	60	Jeac Habitatges SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LA INMOBILIARIA ARGENSOLENSE SL	60	La Inmobiliaria Argensolense SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LLOGUERS VINYA NOVA,SL	59	Comercio y Transformación de Maderas SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ZONA FRANCA GLOBAL BARCELONA SLU	59	DWS	Alemania	Alemania	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FACORIN SL	59	Facorin SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ICHO SL	59	Icho SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SA VIDAL RIBAS	59	Icofre Barcelona SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PARTLER 2006 SL	59	Partler 3006 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PRIMOSOL SL	59	Primosol SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
IRIS LA GARRIGA SAU	58	1948 Associats	España	España	Empresa privada	NA	Otros	NA	Cataluña	Sociedad Privada
GALA RESIDENCES VIA AUGUSTA SLU	58	AEW	Estados Unidos	Alemania	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CASBAY SL	58	Casbay SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CONTRATAS GES SA	58	Contratas Ges SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
DOLORES AUTRAN SOLSONA SL	58	Dolores Autran Solsona SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
EUMACA, S.A	58	Eumaca SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FUNDACIÓ VALLDEJULI	58	Fundació Valldejuli	España	España	Fundaciones	NA	Fundaciones	NA	Cataluña	Sociedad Privada
GALIL CAPITAL RE SPAIN SOCIMI SA	58	Galil Capital	España	España	Socimi	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
VOLUMETRIC, S.L.U.	58	Grup Volumetric	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
VILAMUR 89 SL	58	Vilamur 89 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ES VERN SA	57	Es Vern SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FUNDACION PRIVADA RAMON PLA ARMENGOL	57	Fundación Privada Ramón Plá Armengol	España	España	Fundaciones	NA	Fundaciones	NA	Cataluña	Sociedad Privada
GRADISA SL	57	Gradisa SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
IMMOBLES PRESTIGI S.L.	57	Inmobles Prestigi SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
QUATRE CAPITAL BP SL	57	Quatre Capital BP SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SOIFLER SL	57	Soifler SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
TOLIAN INVERSIONS SL	57	Tolian Inversions SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ZEIN SL	57	Zein SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ESPAIS I DIMENSIONS AM2, S.L.	56	Espais i Dimensions AM2 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
HOTEL GALES SL	56	Hotel Gales SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIRIA CAMFOR SA	56	Inmobiliaria Camfor SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
DOGA RESIDENCIAL SLU	56	Inversiones Industriales e Inmobiliarias SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
J. RODOREDA, S.L.	56	J. Rodoreda SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LABEAN INVERSIONS SL	56	Labean Inversions SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MARVALLOS, S.L.	56	Marvallos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
POLITEAM SL	56	Politeam SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
A3 DOMUS HABITATGES, S.L.	55	A3 Domus Habitatges SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
RENTDAEN SL	55	Ferine SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FINCAMAN 90 SAU	55	Fincaman 90 SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
GLOBALFISAR	55	Geinfisar 99	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
GOLI IMMOBLES SL	55	Goli Inmobles SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LOZACAR, SL	55	Lozacar SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PARWING SL	55	Parwing SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
RENTAURO SA	55	Rentauro SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ABANCA CORPORACION DIVISION INMOBILIARIA SL	54	Abanca	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
BISBAT DE OSONA	54	Bisbat de Osona	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Cataluña	Sociedad Privada
CILANER SL	54	Cilaner SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CIRCULO HARPO S.L.	54	Círculo Harpo SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
HUGUET SANTAEULARIA SL	54	Huguet Santaeularia SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA FINCAS URBANAS ESPAÑOLAS SA	54	Inmobiliaria Fincas Urbanas Españolas SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA NORDESTE DE CONSTRUCCIONES, S.A.	54	Inmobiliaria Nordeste de Construcciones SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
NMB IMMOBLES 2022, S.L.	54	NMB Inmobles 2022	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
TAXACIONS I ENGINYERIA ORDEIX SL	54	Taxacions i Enginyeria Ordeix SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ARNEGAS SL	53	Arnegas SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
COMU SANT QUIRZE DEL VALLES SL	53	Ajuntament de Sant Quirze del Vallès	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
FUNDACIÓ PRIVADA HÀBITAT3 TERCER SECTOR SOCIAL	53	Fundació Hàbitat3	España	España	Fundaciones	NA	Fundaciones	NA	Cataluña	Sociedad Privada
GAULES S.L.	53	Gaules SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
GENEROS DE PUNTO I ODENA SL	53	Géneros de Punto i Odena SL	España	España	Empresa privada	NA	Otros	NA	Cataluña	Sociedad Privada
IC 145 SL	53	Ic 145 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INICIATIVAS MOLTGOIG SL	53	Iniciativas Moltgoig SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
M.Q.F., S.L.	53	MQF SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PRECAVE SL	53	Precave SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SYM SA	53	Sym SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
2020IMMOPEDRALBES	52	2020 Immopedralbel SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA GIMENO ESTEVA SL	52	Inmobiliaria Gimeno Esteva SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA JUMARROS SA	52	Inmobiliaria Jumarros SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA RIBASMAR S.A	52	Inmobiliaria Ribasmar SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LANOVA CREU COBERTA SL	52	La Nova Creu Coberta SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
AJUNTAMENT DE SANTA COLOMA DE GRAMENET	51	Ajuntament de Santa Coloma de Gramanet	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
CENTRE FINANCER GIRONA-BARNA, S.L.	51	Centre Financer Girona-Barna SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CLATENA SL	51	Clatena SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
EDIPAU 8 SL	51	Edipau 8 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ESTACIÓN SERVICIO HORT GRAN S.A	51	Estación Servicio Hort Gran SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FUNDACIÓ BENEFICO PRIVADA BARNOLA VALLRIBERA, SANT	51	Fundació Barnola-Vallribera, Sant Josep	España	España	Fundaciones	NA	Fundaciones	NA	Cataluña	Sociedad Privada
IMISL	51	Inversiones Mobiliarias e Inmobiliarias SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA LUMA SL	51	Inmobiliaria Luma SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INSTITUTO VALENCIANO DE VIVIENDA SA	3247	Generalitat Valenciana	España	España	Empresa pública	CCAA	Parque público	NA	Valencia	Sociedad Pública
ENTIDAD VALENCIANA DE VIVIENDA Y SUELO	2364	Generalitat Valenciana	España	España	Empresa pública	CCAA	Parque público	NA	Valencia	Sociedad Pública
BUILDINGCENTER	2010	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
BANCO SABADELL, S.A.	1295	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
NESTAR RESIDENCIAL, S.I.I.	971	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
PROMONTORIA COLISEUM RESIDENTIAL, SLU	784	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Valencia	Sociedad Privada
SOCIEDAD DE GESTION DE ACTIVOS (SAREB)	732	Sareb	España	España	Empresa pública	Administración central	Entidades financieras	Sociedad de gestión de activos	Valencia	Sociedad Pública
TEMPORE PROPERTIES SOCIMI, S.A.	496	TPG	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Valencia	Sociedad Privada
TESTA RESIDENCIAL SOCIMI, S.A.	444	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Valencia	Sociedad Privada
PATRONATO DE LA VIVIENDA DE ALICANTE	340	Ayuntamiento de Alicante	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Valencia	Sociedad Pública
URBIMETRO, S.L.	323	Grupo Crein Valencia SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
LURI 6, S.A.	269	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
RKS REAL ESTATE, S.C.S.	240	RKS Management	Luxemburgo	Luxemburgo	Soparfi	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
SA MUNICIPAL DE ACT. URBANAS DE VALENCIA	231	Ayuntamiento de Valencia	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Valencia	Sociedad Pública
CRITERIA CAIXA, S.A.U.	170	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
INVERSIONES INMOBILIARIAS LIMARA, S.L	165	Blackstone	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Valencia	Sociedad Privada
INMO CRITERIA ARRENDAMIENTO, S.L.U.	158	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
CATELLA WE-09 SPAIN, S.L.	157	Catella Real Estate AG	Alemania	España	Empresa privada	NA	Consultoría	NA	Valencia	Sociedad Privada
VAYMER SL	154	Vaymer SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
BANCO SANTANDER SA	149	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
TALECONS SA	139	Talecons SA	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
BANCO MARE NOSTRUM, S.A	137	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
SORSHOLD, S.A.	133	Sorshold SA	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
VIVENIO RESIDENCIAL SOCIMI, S.A.	132	Renta Corporación	España	España	Socimi	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
INMO CRITERIA ARRENDAMIENTO III, S.L.U.	131	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
INMOBILIARIA KALIN RENT ONE SOCIEDAD	121	Inversiones Antaviana SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
AJUNTAMENT DE GANDIA	117	Ayuntamiento de Gandía	España	España	Ayuntamiento	Ayuntamiento	Parque público	NA	Valencia	Sociedad Pública
MOSACATA S.L.	114	Unicaja	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
COMERCIAL DEL ESTE SA	107	Comercial del Este SA	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
PROMOTORIA MACC REC SOCIMI SA	107	Cerberus	Estados Unidos	Irlanda	Socimi	NA	Entidades financieras	Fondos de inversión	Valencia	Sociedad Privada
INVERIPLUS GESTION SL.	106	Inveriplus Gestión SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
ALISEDA, S.A.U.	103	Blackstone	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Valencia	Sociedad Privada
MASIP PACHES PEDRO	100	Particulares	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
NEINOR SARDES RENTAL, S.L.	95	Lone Star	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Valencia	Sociedad Privada
GRUPO VALENCIANO DE ALQUILER PROTEGIDO	89	Neptuno 98	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
PROMONTORIA COLISEUM REAL ESTATE, SL	89	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Valencia	Sociedad Privada
2002 NUEVAS INVERSIONES SL	88	2002 Nuevas Inversiones SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
ANFA SA	81	Anfa SA	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
CERSA GESTION DE ALQUILERES, SL	78	Carprocas Inversión SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Valencia	Sociedad Privada
LLOGUER JOVE SL	76	Lloguer Jove SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
UNION DE CREDITOS IMOBILIARIOS SA	73	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
TEMPORE PROPERTIES SOCIMI, S.A.	72	TPG	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Valencia	Sociedad Privada
GRUPO QUESADA JARA, S.L.	71	Grupo Qesada Jara SL	España	España	Empresa privada	NA	Construcción	NA	Valencia	Sociedad Privada
XJINURBE S.A.	71	XJ inurbe SA	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
MILAZA, SL	71	Cáritas Diocesana de Orihuela-Alicante	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Valencia	Sociedad Privada
HABITUS VALENCIA, S.L.U.	67	American International Group	Estados Unidos	Luxemburgo	Soparfi	NA	Seguros	NA	Valencia	Sociedad Privada
CARRERA SAN LUIS S.L.	66	Carrera San Luis SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
LAS ALCUBLAS SL	65	Las Alcublas SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
INMO CRITERIA ARRENDAMIENTO II, S.L.U.	65	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
INMOBILIARIA HISPANA, S.A.	64	Inmobiliaria Hispana, SA	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
ALQUILER DE CASAS BONIFICABLES SA	64	Alquiler de casas bonificables	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
"CAJA DE AHORROS Y MONTE DE PIEDAD
 ONTINYENT"	63	Caixa Ontinyent	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
UMA CV 2 SL	63	UMA CV 2 SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
SERVICIOS INMOBILIARIOS VALENCIANOS	63	Servicios Inmobiliarios Valencianos	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
BANCO BILBAO VIZCAYA ARGENTARIA SA	62	BBVA	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
SPARUS AURATA SL	62	Sparus Aurata SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
