Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
SEVILLA ACTIVA M.P. S.A.U.	183	Diputación de Sevilla	España	España	Empresa pública	Diputación	Parque público	NA	Andalucia	Sociedad Pública
INVERSIONES INMOBILIARIAS LIMARA SL	185	Blackstone	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Andalucia	Sociedad Privada
UNION DE CREDITOS INMOBILIARIOS SA ESTABLECIMIENTO FINANCIERO DE CREDITO	194	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
CARMILA CÓRDOBA SLU	60	Carrefour	Francia	España	Empresa privada	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
EMPRESA MUNICIPAL DE SUELO Y VIVIENDA,SL	203	Ayuntamiento de La Línea de La Concepción	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
PROMOCIONES Y CONSTRUCCIONES ANGULO SANCHEZ SA	206	Promociones y Construcciones Angulo Sánchez	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
EMPRESA MUNICIPAL DE SUELO Y VIVIENDA DE EL PUERTO DE SANTA MARIA SA	206	Ayuntamiento de El Puerto de Santa María	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
PROMONTORIA COLISEUM RESIDENTIAL SL	218	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Andalucia	Sociedad Privada
BANKIA, S.A.	220	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
BANCO MARE NOSTRUM, S.A.	220	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
ALMERIVENTA SL	227	Almeriventa SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
PINO MONTANO RENTA SL	229	Promociones y Construcciones Angulo Sánchez	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
SE. PERIAN SL	233	Se Perian SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
ROCHE SA MUNICIPAL	236	Ayuntamiento de Conil de la Frontera	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
